hyperparameters,mean_macro_f1,mean_deceased_f1,mean_overall_accuracy
"{'algorithm': 'ball_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}", 0.94, 0.92, 0.94
"{'algorithm': 'ball_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}", 0.93, 0.90, 0.93
"{'algorithm': 'ball_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}", 0.94, 0.92, 0.94
"{'algorithm': 'ball_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}", 0.92, 0.89, 0.92
"{'algorithm': 'ball_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 6, 'p': 1, 'weights': 'distance'}", 0.94, 0.92, 0.94
"{'algorithm': 'ball_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}", 0.92, 0.89, 0.92
"{'algorithm': 'ball_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}", 0.94, 0.91, 0.94
"{'algorithm': 'ball_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}", 0.92, 0.89, 0.92
"{'algorithm': 'ball_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}", 0.94, 0.91, 0.94
"{'algorithm': 'ball_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}", 0.92, 0.89, 0.92
"{'algorithm': 'ball_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}", 0.93, 0.91, 0.93
"{'algorithm': 'ball_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}", 0.92, 0.89, 0.92
"{'algorithm': 'ball_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 8, 'p': 1, 'weights': 'distance'}", 0.94, 0.91, 0.94
"{'algorithm': 'ball_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 8, 'p': 2, 'weights': 'uniform'}", 0.91, 0.88, 0.91
"{'algorithm': 'ball_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 8, 'p': 2, 'weights': 'distance'}", 0.94, 0.91, 0.94
"{'algorithm': 'ball_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}", 0.91, 0.88, 0.91
"{'algorithm': 'ball_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}", 0.94, 0.91, 0.94
"{'algorithm': 'ball_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}", 0.91, 0.88, 0.91
"{'algorithm': 'ball_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 9, 'p': 2, 'weights': 'distance'}", 0.93, 0.91, 0.93
